source_id,mld-1pct,mld-abrupt,mld-picontrol,rank-1pct,rank-abrupt,rank-picontrol,std-dev
ACCESS-ESM1-5,62.2545364,56.57230853,71.75361368,2,2,1,0.577350269
CNRM-ESM2-1,43.39936588,39.09500876,48.99419578,12,12,13,0.577350269
ACCESS-CM2,57.62194155,51.6438283,65.58163209,3,3,2,0.577350269
UKESM1-0-LL,45.74322839,43.25891872,54.64326511,8,7,9,1
BCC-ESM1,47.5797487,41.6517441,54.9318728,6,8,8,1.154700538
EC-Earth3-Veg,49.60892219,45.37375037,54.98924572,5,5,7,1.154700538
CNRM-CM6-1,45.00952119,40.24235897,50.47536918,10,9,12,1.527525232
HadGEM3-GC31-LL,45.14346463,43.62015177,54.18325968,9,6,10,2.081665999
IPSL-CM6A-LR,46.28344269,39.56183043,52.03156274,7,11,11,2.309401077
NESM3,21.7111593,19.51953649,25.00951612,24,22,27,2.516611478
BCC-CSM2-MR,42.36845286,38.76812386,46.07929274,14,13,18,2.645751311
GISS-E2-1-G,38.10356945,33.12905174,42.22124073,17,17,22,2.886751346
MPI-ESM1-2-HR,38.80728083,40.0957778,48.93175998,16,10,14,3.055050463
MRI-ESM2-0,39.01846198,33.75824357,61.2477865,15,16,3,7.234178138
CanESM5,50.42787279,29.60720949,55.92988147,4,20,4,9.237604307
AWI-CM-1-1-MR,8.284520656,8.628354181,,25,23,,1.414213562
CAS-ESM2-0,21.81965574,20.83440276,,23,21,,1.414213562
CESM2-FV2,42.76189914,,47.83534815,13,,15,1.414213562
CESM2-WACCM-FV2,36.92222087,,41.18040838,18,,24,4.242640687
CanESM5-CanOE,32.65858577,,,21,,,
E3SM-1-0,31.34871909,,,22,,,
FGOALS-f3-L,33.84572349,32.60461381,,19,18,,0.707106781
MPI-ESM1-2-LR,43.85149317,,,11,,,
NorCPM1,70.49640187,69.04183917,,1,1,,0
NorESM2-MM,33.83365842,34.09536286,,20,15,,3.535533906
CESM2,,35.29800685,43.80196136,,14,21,4.949747468
CNRM-CM6-1-HR,,31.3777419,,,19,,
NorESM2-LM,,49.32948125,,,4,,
CAMS-CSM1-0,,,44.54861094,,,19,
CESM2-WACCM,,,43.8570989,,,20,
E3SM-1-1,,,36.17648317,,,26,
EC-Earth3,,,55.2647933,,,6,
GFDL-ESM4,,,46.9444342,,,16,
GISS-E2-1-G-CC,,,42.19039709,,,23,
GISS-E2-2-G,,,46.92272497,,,17,
HadGEM3-GC31-MM,,,39.44492935,,,25,
MPI-ESM-1-2-HAM,,,55.43849096,,,5,
,,,,,,,
average,41.15615388,38.13511503,49.2818213,,,,
std-dev,12.93501784,12.55852514,9.378522453,,,,