,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,dcpp_init_year
22188,CMIP,CNRM-CERFACS,CNRM-ESM2-1,piControl,r1i1p1f2,Omon,hfds,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Omon/hfds/gn/,
16004,CMIP,CCCma,CanESM5,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/hfds/gn/,
16108,CMIP,CCCma,CanESM5,piControl,r1i1p2f1,Omon,hfds,gn,gs://cmip6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Omon/hfds/gn/,
23578,CMIP,E3SM-Project,E3SM-1-0,piControl,r1i1p1f1,Omon,hfds,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/hfds/gr/,
23757,CMIP,E3SM-Project,E3SM-1-1,piControl,r1i1p1f1,Omon,hfds,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Omon/hfds/gr/,
24807,CMIP,EC-Earth-Consortium,EC-Earth3,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/hfds/gn/,
24267,CMIP,EC-Earth-Consortium,EC-Earth3-Veg,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/piControl/r1i1p1f1/Omon/hfds/gn/,
55198,CMIP,NOAA-GFDL,GFDL-CM4,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/hfds/gn/,
55199,CMIP,NOAA-GFDL,GFDL-CM4,piControl,r1i1p1f1,Omon,hfds,gr,gs://cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/hfds/gr/,
55835,CMIP,NOAA-GFDL,GFDL-ESM4,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/hfds/gn/,
55836,CMIP,NOAA-GFDL,GFDL-ESM4,piControl,r1i1p1f1,Omon,hfds,gr,gs://cmip6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/Omon/hfds/gr/,
44337,CMIP,NASA-GISS,GISS-E2-1-G,piControl,r101i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/piControl/r101i1p1f1/Omon/hfds/gn/,
44409,CMIP,NASA-GISS,GISS-E2-1-G,piControl,r102i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/piControl/r102i1p1f1/Omon/hfds/gn/,
44482,CMIP,NASA-GISS,GISS-E2-1-G,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/piControl/r1i1p1f1/Omon/hfds/gn/,
44547,CMIP,NASA-GISS,GISS-E2-1-G,piControl,r1i1p1f2,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/piControl/r1i1p1f2/Omon/hfds/gn/,
44610,CMIP,NASA-GISS,GISS-E2-1-G,piControl,r1i1p1f3,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/piControl/r1i1p1f3/Omon/hfds/gn/,
44708,CMIP,NASA-GISS,GISS-E2-1-G,piControl,r2i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G/piControl/r2i1p1f1/Omon/hfds/gn/,
41476,CMIP,NASA-GISS,GISS-E2-1-G-CC,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-1-G-CC/piControl/r1i1p1f1/Omon/hfds/gn/,
46199,CMIP,NASA-GISS,GISS-E2-2-G,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-2-G/piControl/r1i1p1f1/Omon/hfds/gn/,
35552,CMIP,MOHC,HadGEM3-GC31-LL,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/hfds/gn/,
35761,CMIP,MOHC,HadGEM3-GC31-MM,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/hfds/gn/,
32512,CMIP,IPSL,IPSL-CM6A-LR,piControl,r1i2p1f1,Omon,hfds,gn,gs://cmip6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i2p1f1/Omon/hfds/gn/,
57004,CMIP,UA,MCM-UA-1-0,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Omon/hfds/gn/,
25211,CMIP,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/piControl/r1i1p1f1/Omon/hfds/gn/,
38632,CMIP,MPI-M,MPI-ESM1-2-HR,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/Omon/hfds/gn/,
41217,CMIP,MRI,MRI-ESM2-0,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/piControl/r1i1p1f1/Omon/hfds/gn/,
56412,CMIP,NUIST,NESM3,piControl,r1i1p1f1,Omon,hfds,gn,gs://cmip6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/hfds/gn/,
5620,CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Omon/mlotst/gn/,
16318,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,piControl,r1i1p1f2,Omon,mlotst,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/mlotst/gn/,
23579,CMIP,E3SM-Project,E3SM-1-0,piControl,r1i1p1f1,Omon,mlotst,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/mlotst/gr/,
55201,CMIP,NOAA-GFDL,GFDL-CM4,piControl,r1i1p1f1,Omon,mlotst,gr,gs://cmip6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/mlotst/gr/,
46120,CMIP,NASA-GISS,GISS-E2-2-G,1pctCO2,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/CMIP/NASA-GISS/GISS-E2-2-G/1pctCO2/r1i1p1f1/Omon/mlotst/gn/,
22269,CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/tas/gn/,
22325,CMIP,CSIRO-ARCCSS,ACCESS-CM2,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
22523,CMIP,CSIRO-ARCCSS,ACCESS-CM2,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/piControl/r1i1p1f1/Amon/tas/gn/,
22584,CMIP,CSIRO,ACCESS-ESM1-5,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CSIRO/ACCESS-ESM1-5/1pctCO2/r1i1p1f1/Amon/tas/gn/,
22655,CMIP,CSIRO,ACCESS-ESM1-5,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
23070,CMIP,CSIRO,ACCESS-ESM1-5,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/tas/gn/,
5342,CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/tas/gn/,
5380,CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
5640,CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,day,tas,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/day/tas/gn/,
5696,CMIP,BCC,BCC-CSM2-MR,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/tas/gn/,
5749,CMIP,BCC,BCC-CSM2-MR,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
6453,CMIP,BCC,BCC-CSM2-MR,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Amon/tas/gn/,
6508,CMIP,BCC,BCC-ESM1,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/1pctCO2/r1i1p1f1/Amon/tas/gn/,
6558,CMIP,BCC,BCC-ESM1,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
6961,CMIP,BCC,BCC-ESM1,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/tas/gn/,
7014,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r1i1p1f1/Amon/tas/gn/,
7049,CMIP,CAMS,CAMS-CSM1-0,1pctCO2,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/1pctCO2/r2i1p1f1/Amon/tas/gn/,
7088,CMIP,CAMS,CAMS-CSM1-0,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
7122,CMIP,CAMS,CAMS-CSM1-0,abrupt-4xCO2,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/abrupt-4xCO2/r2i1p1f1/Amon/tas/gn/,
7339,CMIP,CAMS,CAMS-CSM1-0,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CAMS/CAMS-CSM1-0/piControl/r1i1p1f1/Amon/tas/gn/,
49013,CMIP,NCAR,CESM2,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2/1pctCO2/r1i1p1f1/Amon/tas/gn/,
49235,CMIP,NCAR,CESM2,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
52652,CMIP,NCAR,CESM2,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Amon/tas/gn/,
52786,CMIP,NCAR,CESM2,piControl,r1i1p1f1,day,tas,gn,gs://cmip6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/,
46229,CMIP,NCAR,CESM2-FV2,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/1pctCO2/r1i1p1f1/Amon/tas/gn/,
46642,CMIP,NCAR,CESM2-FV2,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Amon/tas/gn/,
46761,CMIP,NCAR,CESM2-FV2,piControl,r1i1p1f1,day,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/day/tas/gn/,
47431,CMIP,NCAR,CESM2-WACCM,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM/1pctCO2/r1i1p1f1/Amon/tas/gn/,
47649,CMIP,NCAR,CESM2-WACCM,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
48808,CMIP,NCAR,CESM2-WACCM,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Amon/tas/gn/,
48986,CMIP,NCAR,CESM2-WACCM,piControl,r1i1p1f1,day,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/day/tas/gn/,
46773,CMIP,NCAR,CESM2-WACCM-FV2,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM-FV2/1pctCO2/r1i1p1f1/Amon/tas/gn/,
47184,CMIP,NCAR,CESM2-WACCM-FV2,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Amon/tas/gn/,
47403,CMIP,NCAR,CESM2-WACCM-FV2,piControl,r1i1p1f1,day,tas,gn,gs://cmip6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/day/tas/gn/,
16368,CMIP,CNRM-CERFACS,CNRM-CM6-1,1pctCO2,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/1pctCO2/r1i1p1f2/Amon/tas/gr/,
16441,CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/Amon/tas/gr/,
16509,CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r2i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/Amon/tas/gr/,
16572,CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r3i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r3i1p1f2/Amon/tas/gr/,
16635,CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r4i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r4i1p1f2/Amon/tas/gr/,
16698,CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r5i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/Amon/tas/gr/,
16761,CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r6i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r6i1p1f2/Amon/tas/gr/,
20105,CMIP,CNRM-CERFACS,CNRM-CM6-1,piControl,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Amon/tas/gr/,
20155,CMIP,CNRM-CERFACS,CNRM-CM6-1,piControl,r1i1p1f2,day,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/day/tas/gr/,
16219,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,abrupt-4xCO2,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/tas/gr/,
16312,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,piControl,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Amon/tas/gr/,
16339,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,piControl,r1i1p1f2,day,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/day/tas/gr/,
20187,CMIP,CNRM-CERFACS,CNRM-ESM2-1,1pctCO2,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/1pctCO2/r1i1p1f2/Amon/tas/gr/,
20282,CMIP,CNRM-CERFACS,CNRM-ESM2-1,1pctCO2,r2i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/1pctCO2/r2i1p1f2/Amon/tas/gr/,
20372,CMIP,CNRM-CERFACS,CNRM-ESM2-1,1pctCO2,r3i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/1pctCO2/r3i1p1f2/Amon/tas/gr/,
20462,CMIP,CNRM-CERFACS,CNRM-ESM2-1,1pctCO2,r4i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/1pctCO2/r4i1p1f2/Amon/tas/gr/,
20553,CMIP,CNRM-CERFACS,CNRM-ESM2-1,abrupt-4xCO2,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r1i1p1f2/Amon/tas/gr/,
20631,CMIP,CNRM-CERFACS,CNRM-ESM2-1,abrupt-4xCO2,r2i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r2i1p1f2/Amon/tas/gr/,
20704,CMIP,CNRM-CERFACS,CNRM-ESM2-1,abrupt-4xCO2,r3i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/abrupt-4xCO2/r3i1p1f2/Amon/tas/gr/,
22142,CMIP,CNRM-CERFACS,CNRM-ESM2-1,piControl,r1i1p1f2,Amon,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Amon/tas/gr/,
22250,CMIP,CNRM-CERFACS,CNRM-ESM2-1,piControl,r1i1p1f2,day,tas,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/day/tas/gr/,
8048,CMIP,CCCma,CanESM5,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/1pctCO2/r1i1p1f1/Amon/tas/gn/,
8140,CMIP,CCCma,CanESM5,1pctCO2,r1i1p2f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/1pctCO2/r1i1p2f1/Amon/tas/gn/,
8227,CMIP,CCCma,CanESM5,1pctCO2,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/1pctCO2/r2i1p1f1/Amon/tas/gn/,
8301,CMIP,CCCma,CanESM5,1pctCO2,r2i1p2f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/1pctCO2/r2i1p2f1/Amon/tas/gn/,
8374,CMIP,CCCma,CanESM5,1pctCO2,r3i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/1pctCO2/r3i1p1f1/Amon/tas/gn/,
8447,CMIP,CCCma,CanESM5,1pctCO2,r3i1p2f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/1pctCO2/r3i1p2f1/Amon/tas/gn/,
8521,CMIP,CCCma,CanESM5,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/,
8618,CMIP,CCCma,CanESM5,abrupt-4xCO2,r1i1p2f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/abrupt-4xCO2/r1i1p2f1/Amon/tas/gn/,
15973,CMIP,CCCma,CanESM5,piControl,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Amon/tas/gn/,
16050,CMIP,CCCma,CanESM5,piControl,r1i1p1f1,day,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/day/tas/gn/,
16080,CMIP,CCCma,CanESM5,piControl,r1i1p2f1,Amon,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/Amon/tas/gn/,
16150,CMIP,CCCma,CanESM5,piControl,r1i1p2f1,day,tas,gn,gs://cmip6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/day/tas/gn/,
23157,CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/tas/gr/,
23205,CMIP,E3SM-Project,E3SM-1-0,abrupt-4xCO2,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr/,
23563,CMIP,E3SM-Project,E3SM-1-0,piControl,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Amon/tas/gr/,
23746,CMIP,E3SM-Project,E3SM-1-1,piControl,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Amon/tas/gr/,
24319,CMIP,EC-Earth-Consortium,EC-Earth3,abrupt-4xCO2,r8i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/EC-Earth-Consortium/EC-Earth3/abrupt-4xCO2/r8i1p1f1/Amon/tas/gr/,
24790,CMIP,EC-Earth-Consortium,EC-Earth3,piControl,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Amon/tas/gr/,
24827,CMIP,EC-Earth-Consortium,EC-Earth3,piControl,r1i1p1f1,day,tas,gr,gs://cmip6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/day/tas/gr/,
23854,CMIP,EC-Earth-Consortium,EC-Earth3-Veg,1pctCO2,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/1pctCO2/r1i1p1f1/Amon/tas/gr/,
23915,CMIP,EC-Earth-Consortium,EC-Earth3-Veg,abrupt-4xCO2,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/abrupt-4xCO2/r1i1p1f1/Amon/tas/gr/,
